78887i8p2026-04-02 04:26:17,234  INFO      Stage 5 Training Loop — Start
2026-04-02 14:29:51,903  INFO      Device : cpu
2026-04-02 14:29:51,904  INFO      Config : LR=3e-04  Batch=256  MaxEpochs=200  Patience=20
2026-04-02 14:29:51,904  INFO      Folds to train: [1, 2, 3]
2026-04-02 14:29:51,904  INFO      ============================================================
2026-04-02 14:29:51,904  INFO      FOLD 1 — Training
2026-04-02 14:29:52,051  INFO      Loading datasets...
2026-04-02 14:29:57,983  INFO          Index built: 94067 samples from 104 files
2026-04-02 14:29:59,380  INFO          Index built: 15466 samples from 104 files
2026-04-02 14:29:59,381  INFO        Train samples: 94067  Val samples: 15466
2026-04-02 14:30:01,905  INFO      Starting training — max 200 epochs, patience 20
2026-04-02 14:36:16,256  INFO      Epoch   1 | TrainLoss 0.0910 (BCE 0.1745 Huber 0.0074) | ValLoss 0.0905 (BCE 0.1731 Huber 0.0080) | Gap 0.0004 | ValAcc H1=0.528 H5=0.521 H20=0.493 | LR 3.00e-05 | GradNorm 0.010
2026-04-02 14:42:26,598  INFO      Epoch   2 | TrainLoss 0.0901 (BCE 0.1728 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1732 Huber 0.0080) | Gap -0.0005 | ValAcc H1=0.531 H5=0.525 H20=0.511 | LR 6.00e-05 | GradNorm 0.006
2026-04-02 14:48:33,348  INFO      Epoch   3 | TrainLoss 0.0899 (BCE 0.1726 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1731 Huber 0.0080) | Gap -0.0007 | ValAcc H1=0.534 H5=0.525 H20=0.516 | LR 9.00e-05 | GradNorm 0.005
2026-04-02 14:54:40,005  INFO      Epoch   4 | TrainLoss 0.0899 (BCE 0.1725 Huber 0.0073) | ValLoss 0.0907 (BCE 0.1733 Huber 0.0080) | Gap -0.0008 | ValAcc H1=0.533 H5=0.525 H20=0.514 | LR 1.20e-04 | GradNorm 0.005
2026-04-02 15:00:50,705  INFO      Epoch   5 | TrainLoss 0.0899 (BCE 0.1725 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1730 Huber 0.0080) | Gap -0.0006 | ValAcc H1=0.537 H5=0.530 H20=0.519 | LR 1.50e-04 | GradNorm 0.005
2026-04-02 15:06:59,047  INFO      Epoch   6 | TrainLoss 0.0898 (BCE 0.1723 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1729 Huber 0.0080) | Gap -0.0007 | ValAcc H1=0.531 H5=0.528 H20=0.513 | LR 1.80e-04 | GradNorm 0.005
2026-04-02 15:13:08,565  INFO      Epoch   7 | TrainLoss 0.0897 (BCE 0.1722 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1730 Huber 0.0080) | Gap -0.0008 | ValAcc H1=0.533 H5=0.528 H20=0.523 | LR 2.10e-04 | GradNorm 0.005
2026-04-02 23:00:13,556  INFO      Stage 5 Training Loop — Start
2026-04-02 23:00:13,556  INFO      Device : cpu
2026-04-02 23:00:13,557  INFO      Config : LR=3e-04  Batch=256  MaxEpochs=200  Patience=20
2026-04-02 23:00:13,557  INFO      Folds to train: [1, 2, 3]
2026-04-02 23:00:13,557  INFO      ============================================================
2026-04-02 23:00:13,557  INFO      FOLD 1 — Training
2026-04-02 23:00:14,350  INFO      Loading datasets...
2026-04-02 23:00:55,625  INFO          Index built: 94067 samples from 104 files
2026-04-02 23:01:06,519  INFO          Index built: 15466 samples from 104 files
2026-04-02 23:01:06,520  INFO        Train samples: 94067  Val samples: 15466
2026-04-02 23:01:17,842  INFO      Starting training — max 200 epochs, patience 20
2026-04-02 23:06:42,971  INFO      Epoch   1 | TrainLoss 0.0904 (BCE 0.1734 Huber 0.0074) | ValLoss 0.0906 (BCE 0.1731 Huber 0.0081) | Gap -0.0002 | ValAcc H1=0.530 H5=0.519 H20=0.498 | LR 3.00e-05 | GradNorm 0.007
2026-04-02 23:12:00,594  INFO      Epoch   2 | TrainLoss 0.0901 (BCE 0.1728 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1731 Huber 0.0080) | Gap -0.0005 | ValAcc H1=0.532 H5=0.515 H20=0.510 | LR 6.00e-05 | GradNorm 0.006
2026-04-02 23:17:16,956  INFO      Epoch   3 | TrainLoss 0.0899 (BCE 0.1725 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1732 Huber 0.0080) | Gap -0.0007 | ValAcc H1=0.534 H5=0.520 H20=0.512 | LR 9.00e-05 | GradNorm 0.006
2026-04-02 23:22:31,727  INFO      Epoch   4 | TrainLoss 0.0899 (BCE 0.1724 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1729 Huber 0.0080) | Gap -0.0006 | ValAcc H1=0.533 H5=0.530 H20=0.517 | LR 1.20e-04 | GradNorm 0.006
2026-04-02 23:27:44,848  INFO      Epoch   5 | TrainLoss 0.0898 (BCE 0.1723 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1731 Huber 0.0080) | Gap -0.0008 | ValAcc H1=0.535 H5=0.529 H20=0.519 | LR 1.50e-04 | GradNorm 0.005
2026-04-02 23:32:57,980  INFO      Epoch   6 | TrainLoss 0.0898 (BCE 0.1723 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1730 Huber 0.0080) | Gap -0.0007 | ValAcc H1=0.532 H5=0.529 H20=0.524 | LR 1.80e-04 | GradNorm 0.005
2026-04-02 23:38:09,441  INFO      Epoch   7 | TrainLoss 0.0898 (BCE 0.1723 Huber 0.0073) | ValLoss 0.0904 (BCE 0.1728 Huber 0.0080) | Gap -0.0006 | ValAcc H1=0.535 H5=0.525 H20=0.522 | LR 2.10e-04 | GradNorm 0.005
2026-04-02 23:43:19,940  INFO      Epoch   8 | TrainLoss 0.0897 (BCE 0.1721 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1730 Huber 0.0080) | Gap -0.0008 | ValAcc H1=0.535 H5=0.531 H20=0.522 | LR 2.40e-04 | GradNorm 0.005
2026-04-02 23:48:29,799  INFO      Epoch   9 | TrainLoss 0.0897 (BCE 0.1720 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1732 Huber 0.0080) | Gap -0.0010 | ValAcc H1=0.535 H5=0.527 H20=0.522 | LR 2.70e-04 | GradNorm 0.005
2026-04-02 23:53:38,551  INFO      Epoch  10 | TrainLoss 0.0896 (BCE 0.1719 Huber 0.0073) | ValLoss 0.0907 (BCE 0.1734 Huber 0.0081) | Gap -0.0012 | ValAcc H1=0.531 H5=0.529 H20=0.521 | LR 3.00e-04 | GradNorm 0.004
2026-04-02 23:58:48,802  INFO      Epoch  11 | TrainLoss 0.0896 (BCE 0.1719 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1729 Huber 0.0080) | Gap -0.0009 | ValAcc H1=0.535 H5=0.527 H20=0.524 | LR 2.14e-04 | GradNorm 0.005
2026-04-03 00:04:21,581  INFO      Epoch  12 | TrainLoss 0.0895 (BCE 0.1717 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1731 Huber 0.0080) | Gap -0.0011 | ValAcc H1=0.534 H5=0.530 H20=0.520 | LR 2.00e-04 | GradNorm 0.005
2026-04-03 00:10:03,136  INFO      Epoch  13 | TrainLoss 0.0894 (BCE 0.1715 Huber 0.0072) | ValLoss 0.0907 (BCE 0.1733 Huber 0.0080) | Gap -0.0013 | ValAcc H1=0.529 H5=0.529 H20=0.523 | LR 1.85e-04 | GradNorm 0.005
2026-04-03 00:15:36,087  INFO      Epoch  14 | TrainLoss 0.0893 (BCE 0.1714 Huber 0.0073) | ValLoss 0.0908 (BCE 0.1735 Huber 0.0080) | Gap -0.0014 | ValAcc H1=0.529 H5=0.526 H20=0.520 | LR 1.70e-04 | GradNorm 0.005
2026-04-03 00:21:09,477  INFO      Epoch  15 | TrainLoss 0.0892 (BCE 0.1712 Huber 0.0072) | ValLoss 0.0908 (BCE 0.1736 Huber 0.0081) | Gap -0.0016 | ValAcc H1=0.533 H5=0.530 H20=0.524 | LR 1.55e-04 | GradNorm 0.006
2026-04-03 00:26:43,500  INFO      Epoch  16 | TrainLoss 0.0892 (BCE 0.1711 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1730 Huber 0.0080) | Gap -0.0013 | ValAcc H1=0.536 H5=0.531 H20=0.524 | LR 1.40e-04 | GradNorm 0.006
